epoch,time(s),train_loss,test_loss,test_error(%)
001,00052,0.729931,0.00044,13.41
001,00050,0.729931,0.00044,13.41
002,00048,0.611615,0.00036,11.20
002,00048,0.611615,0.00036,11.20
003,00048,0.579944,0.00033,10.36
003,00048,0.579944,0.00033,10.36
004,00048,0.515643,0.00031,9.78
004,00048,0.515643,0.00031,9.78
005,00048,0.511040,0.00029,9.12
005,00048,0.511056,0.00029,9.12
006,00048,0.546758,0.00030,9.27
006,00048,0.545941,0.00030,9.35
007,00048,0.510250,0.00030,9.52
007,00048,0.503516,0.00030,9.74
008,00048,0.508990,0.00030,9.99
008,00048,0.519488,0.00033,10.57
009,00048,0.514198,0.00034,11.68
009,00048,0.533276,0.00037,12.27
010,00048,0.575478,0.00034,10.77
010,00048,0.562960,0.00035,11.29
011,00048,0.576757,0.00036,11.68
011,00048,0.572263,0.00035,11.27
012,00048,0.531232,0.00035,11.11
012,00048,0.556589,0.00037,12.28
013,00048,0.578745,0.00039,13.15
013,00048,0.591086,0.00037,11.60
014,00048,0.647328,0.00037,11.89
014,00048,0.634462,0.00037,11.77
015,00048,0.636649,0.00040,12.45
015,00048,0.609499,0.00041,13.55
016,00048,0.625601,0.00045,14.63
016,00048,0.596805,0.00042,13.85
017,00048,0.641176,0.00041,13.11
017,00048,0.674081,0.00042,13.66
018,00048,0.645540,0.00044,14.85
018,00048,0.636014,0.00044,14.97
019,00048,0.687451,0.00044,14.73
019,00048,0.659082,0.00042,13.79
020,00048,0.657982,0.00042,14.97
020,00048,0.642302,0.00043,14.89
021,00048,0.657734,0.00044,14.24
021,00048,0.652303,0.00043,14.01
022,00048,0.686024,0.00046,15.39
022,00048,0.683140,0.00044,14.95
023,00048,0.688673,0.00044,14.41
023,00048,0.654575,0.00044,15.06
024,00048,0.647982,0.00046,15.26
024,00048,0.671923,0.00046,14.58
025,00048,0.665769,0.00044,14.47
025,00048,0.664255,0.00043,14.62
026,00048,0.687650,0.00047,15.29
026,00048,0.694556,0.00046,14.86
027,00048,0.657290,0.00043,14.35
027,00048,0.678398,0.00045,14.83
028,00048,0.644796,0.00046,15.54
028,00048,0.653189,0.00046,15.24
029,00048,0.679859,0.00046,15.12
029,00048,0.669799,0.00044,14.42
030,00048,0.661823,0.00048,15.97
030,00048,0.649626,0.00049,16.23
031,00048,0.644795,0.00046,15.65
031,00048,0.632662,0.00047,15.63
032,00048,0.655497,0.00042,14.24
032,00048,0.633396,0.00043,14.06
033,00048,0.624991,0.00048,16.24
033,00048,0.646878,0.00047,15.41
034,00048,0.605949,0.00043,14.21
034,00048,0.637899,0.00044,15.00
035,00048,0.665866,0.00043,14.42
035,00048,0.646013,0.00042,14.01
036,00048,0.630793,0.00043,14.36
036,00048,0.652403,0.00044,15.57
037,00048,0.640126,0.00045,14.95
037,00048,0.649272,0.00047,15.53
038,00048,0.649002,0.00043,14.58
038,00048,0.625212,0.00046,14.97
039,00048,0.647744,0.00043,14.04
039,00048,0.651027,0.00045,14.61
040,00048,0.632279,0.00047,15.38
040,00048,0.602842,0.00043,14.49
041,00048,0.644367,0.00043,13.98
041,00048,0.621076,0.00042,13.89
042,00048,0.647552,0.00047,15.77
042,00048,0.647853,0.00049,16.55
043,00048,0.626755,0.00041,13.84
043,00048,0.626424,0.00042,14.02
044,00048,0.600284,0.00046,15.94
044,00048,0.616066,0.00045,15.18
045,00048,0.585505,0.00043,14.42
045,00048,0.570640,0.00045,15.60
046,00048,0.583371,0.00041,13.59
046,00048,0.600783,0.00044,14.64
047,00048,0.617984,0.00045,14.81
047,00048,0.606014,0.00042,13.99
048,00048,0.622198,0.00044,14.69
048,00048,0.620101,0.00045,15.00
049,00048,0.603734,0.00044,14.81
049,00048,0.593772,0.00045,14.65
050,00048,0.633175,0.00046,14.56
050,00048,0.633593,0.00046,14.91
051,00048,0.576395,0.00043,14.30
051,00048,0.587161,0.00041,13.98
052,00048,0.600579,0.00041,13.51
052,00048,0.623144,0.00044,15.12
053,00048,0.595064,0.00043,14.14
053,00048,0.587878,0.00041,13.92
054,00048,0.590552,0.00041,13.42
054,00048,0.592411,0.00042,13.70
055,00048,0.610333,0.00039,13.30
055,00048,0.589313,0.00039,13.16
056,00048,0.576309,0.00040,12.80
056,00048,0.577384,0.00040,13.55
057,00048,0.581510,0.00040,13.35
057,00048,0.580561,0.00040,13.34
058,00048,0.574557,0.00041,13.88
058,00048,0.568405,0.00043,14.57
059,00048,0.572406,0.00041,13.45
059,00048,0.567645,0.00042,14.46
060,00048,0.601576,0.00040,13.40
060,00048,0.571417,0.00040,13.23
061,00048,0.583438,0.00046,15.00
061,00048,0.560945,0.00043,14.13
062,00048,0.589371,0.00041,13.10
062,00048,0.574485,0.00044,14.24
063,00048,0.541502,0.00039,13.42
063,00048,0.563508,0.00042,14.29
064,00048,0.558948,0.00039,13.55
064,00048,0.563906,0.00038,12.69
065,00048,0.576710,0.00041,13.38
065,00048,0.599459,0.00040,13.14
066,00048,0.562397,0.00039,12.96
066,00048,0.553762,0.00041,13.69
067,00048,0.536289,0.00039,13.12
067,00048,0.543293,0.00039,12.96
068,00048,0.544145,0.00040,13.23
068,00048,0.544176,0.00039,12.84
069,00048,0.532429,0.00041,13.77
069,00048,0.534101,0.00041,13.23
070,00048,0.592168,0.00043,14.07
070,00048,0.565917,0.00045,14.60
071,00048,0.519753,0.00041,13.73
071,00048,0.550335,0.00045,14.70
072,00048,0.541981,0.00041,13.90
072,00048,0.549684,0.00040,13.56
073,00048,0.505715,0.00041,13.82
073,00048,0.498407,0.00039,12.94
074,00048,0.528466,0.00039,12.56
074,00048,0.531392,0.00042,14.04
075,00048,0.580475,0.00045,14.63
075,00048,0.563422,0.00044,14.31
076,00048,0.509442,0.00039,13.11
076,00048,0.522207,0.00039,12.71
077,00048,0.536068,0.00038,12.89
077,00048,0.545163,0.00039,12.87
078,00048,0.517319,0.00039,13.26
078,00048,0.527700,0.00039,12.88
079,00048,0.520508,0.00040,13.10
079,00048,0.497080,0.00040,13.34
080,00048,0.543937,0.00038,12.42
080,00048,0.529619,0.00041,13.34
081,00048,0.525401,0.00038,12.58
081,00048,0.532277,0.00038,12.50
082,00048,0.474298,0.00040,13.32
082,00048,0.496140,0.00041,14.12
083,00048,0.520175,0.00037,12.10
083,00048,0.504626,0.00038,12.56
084,00048,0.494681,0.00035,11.59
084,00048,0.508908,0.00038,12.66
085,00048,0.539583,0.00042,14.10
085,00048,0.532311,0.00040,13.47
086,00048,0.497597,0.00038,12.45
086,00048,0.513093,0.00043,14.29
087,00048,0.487519,0.00039,12.98
087,00048,0.446335,0.00038,12.67
088,00048,0.485572,0.00039,12.89
088,00048,0.463884,0.00038,12.95
089,00048,0.454646,0.00039,12.72
089,00048,0.480240,0.00038,12.63
090,00048,0.462251,0.00041,13.58
090,00048,0.471419,0.00039,12.81
091,00048,0.454956,0.00038,12.81
091,00048,0.464374,0.00038,12.58
092,00048,0.460878,0.00041,13.31
092,00048,0.449126,0.00038,12.79
093,00048,0.442533,0.00038,12.84
093,00048,0.472834,0.00041,13.50
094,00048,0.458278,0.00038,12.67
094,00048,0.443352,0.00036,12.04
095,00048,0.409296,0.00037,12.48
095,00048,0.447068,0.00037,12.43
096,00048,0.440292,0.00042,13.41
096,00048,0.445530,0.00038,12.27
097,00048,0.413257,0.00037,12.01
097,00048,0.393129,0.00040,12.94
098,00048,0.464203,0.00038,12.65
098,00048,0.444554,0.00038,12.29
099,00048,0.431831,0.00038,12.54
099,00048,0.430147,0.00041,13.48
100,00048,0.441016,0.00036,12.37
100,00048,0.439668,0.00037,12.44
101,00000,0.000000,0.00000,18.67
101,00000,0.000000,0.00000,18.81
